"code" "intercept" "slope" "nsnps"
"1" "100001_raw" NA NA NA
"2" "100002_raw" -7.38267536995424 -0.718076723550592 122
"3" "100003_raw" NA NA NA
"4" "100004_raw" NA NA NA
"5" "100005_raw" -0.443095528141704 -1.65584634153197 267
"6" "100006_raw" -11.3423507428795 -0.710551516737978 105
"7" "100007_raw" NA NA NA
"8" "100008_raw" -6.37767607166127 -1.11491680853944 146
"9" "100009_raw" NA NA NA
"10" "100010" NA NA NA
"11" "100011_raw" NA NA NA
"12" "100012_raw" NA NA NA
"13" "100013_raw" -11.7732103405782 -0.764554563761903 111
"14" "100014_raw" NA NA NA
"15" "100015_raw" -9.64160170338892 -0.718307009554282 148
"16" "100016_raw" 1.43459050587664 -1.44463165654348 264
"17" "100017_raw" -11.6091836734405 -0.550374969690799 110
"18" "100018_raw" NA NA NA
"19" "100019_raw" -3.68256389514155 -0.991285052635135 106
"20" "100021_raw" NA NA NA
"21" "100022" NA NA NA
"22" "100023_raw" NA NA NA
"23" "100024_raw" -0.732811524050542 -1.41534545434894 222
"24" "100025_raw" -6.67595786069774 -1.45366705408836 171
"25" "1001" NA NA NA
"26" "100150" NA NA NA
"27" "100160" -11.8531089080062 -1.03348494868568 168
"28" "100170" -12.1494264156517 -1.03336105502744 225
"29" "100190" NA NA NA
"30" "100240" NA NA NA
"31" "100250" NA NA NA
"32" "100260" NA NA NA
"33" "100270" NA NA NA
"34" "100280" NA NA NA
"35" "100360" NA NA NA
"36" "100370" NA NA NA
"37" "100390" NA NA NA
"38" "100400" NA NA NA
"39" "100460" NA NA NA
"40" "100520" -10.6709124483085 -1.374493988889 416
"41" "100580" NA NA NA
"42" "100590" NA NA NA
"43" "100630" -11.0139942297057 -1.29365038108833 747
"44" "100670" NA NA NA
"45" "100710" NA NA NA
"46" "100720" -10.5993614796451 -1.48713332102881 835
"47" "100730" -9.98908477584538 -1.39617597701876 296
"48" "100760" NA NA NA
"49" "100890" NA NA NA
"50" "100920_0" NA NA NA
"51" "100920_2102" NA NA NA
"52" "100920_2103" NA NA NA
"53" "100920_2104" NA NA NA
"54" "100920_2105" -12.9403072252788 -1.16475210853711 263
"55" "100920_2106" -11.6997690629303 -1.57660603656306 1122
"56" "100920_2107" -10.8401149922627 -1.89373364670027 1360
"57" "100920_2108" -11.6751245542507 -1.73180331544627 1325
"58" "100920_2109" -12.6340428350336 -1.48091341359145 1154
"59" "100920_2110" -13.3809116075335 -1.63012949597598 1864
"60" "100920_2199" -11.5840928965376 -1.79430726227258 1074
"61" "100940" NA NA NA
"62" "1011" NA NA NA
"63" "102_raw" -8.16274032270102 -4.62422652552712 23848
"64" "102080" NA NA NA
"65" "1021" NA NA NA
"66" "102130" NA NA NA
"67" "102190" NA NA NA
"68" "102250" NA NA NA
"69" "102280" -9.13579830989723 -1.59474279016776 235
"70" "102290" -10.1478771653872 -1.50792145343386 657
"71" "102330" -6.30690768164195 -1.92671367669385 496
"72" "102360" NA NA NA
"73" "102400" NA NA NA
"74" "102440" -12.0971644255175 -1.13291932128682 495
"75" "102460" NA NA NA
"76" "102700" NA NA NA
"77" "102800" NA NA NA
"78" "102820" NA NA NA
"79" "102830" -11.9963508369822 -1.16712254821926 564
"80" "102840" -11.0054817686408 -1.43822275500358 717
"81" "102930" NA NA NA
"82" "103000" NA NA NA
"83" "103020" NA NA NA
"84" "103060" NA NA NA
"85" "103070" -14.4943920674469 -0.614737224733612 113
"86" "1031" -19.0481738946056 -4.16176493886482 506
"87" "103120" NA NA NA
"88" "103130" -12.0303940505865 -1.10113323777333 1447
"89" "103140" NA NA NA
"90" "103250" NA NA NA
"91" "103990" NA NA NA
"92" "104020" NA NA NA
"93" "104090" NA NA NA
"94" "104170" NA NA NA
"95" "104210" NA NA NA
"96" "104240" NA NA NA
"97" "104290" NA NA NA
"98" "104340" NA NA NA
"99" "104400" NA NA NA
"100" "104450" NA NA NA
"101" "104460" NA NA NA
"102" "104530" NA NA NA
"103" "104670" NA NA NA
"104" "104900" NA NA NA
"105" "104910" NA NA NA
"106" "104920" 3.11881674514223 -1.96337211545874 1180
"107" "1050" -33.8827738216802 -7.66388041303082 2776
"108" "1060" -31.241956950938 -6.42993484965011 476
"109" "1070" -49.4451938061729 -11.1296666949108 4424
"110" "1080" -38.6408299327342 -8.38875969708742 1814
"111" "1090" NA NA NA
"112" "1100" -131.316533226686 -30.7645066705417 4550
"113" "110001" NA NA NA
"114" "1110" -18.5781291673178 -3.92665856322164 1172
"115" "1120" NA NA NA
"116" "1130" NA NA NA
"117" "1140" NA NA NA
"118" "1150_1" NA NA NA
"119" "1150_2" NA NA NA
