"code" "intercept" "slope" "nsnps"
"174" "1468_5" -65.9158803429556 -13.5778732017071 6296
"175" "1478" -77.1723769514094 -19.4517895352908 5719
"176" "1488_raw" -13.6317790557504 -1.29309733856115 2461
"177" "1498" -19.3507805037951 -3.88925689442848 2610
"178" "1508_1" NA NA NA
"179" "1508_2" NA NA NA
"180" "1508_3" NA NA NA
"181" "1508_4" -12.4171887950816 -1.97431177076129 591
"182" "1518" -85.3794908093147 -18.9704571259901 5710
"183" "1528" -19.678106863152 -3.89559019969209 941
"184" "1538_0" NA NA NA
"185" "1538_1" -14.1418617230094 -1.90710639326329 682
"186" "1538_2" NA NA NA
"187" "1548" NA NA NA
"188" "1558" -17.6659631910057 -3.5222421185042 7189
"189" "1568" NA NA NA
"190" "1578" NA NA NA
"191" "1588" NA NA NA
"192" "1598" NA NA NA
"193" "1608" NA NA NA
"194" "1618" NA NA NA
"195" "1628" NA NA NA
"196" "1677" NA NA NA
"197" "1687" -31.1743716469994 -7.66901976115739 20389
"198" "1697" -30.7022577065937 -7.20434671528868 78535
"199" "1707_1" NA NA NA
"200" "1707_2" NA NA NA
"201" "1707_3" -14.9086870923355 -1.44264323377137 560
"202" "1717" -15.0888219985535 -3.9401631646798 28286
"203" "1727" -12.6687338166644 -3.84997192246287 28474
"204" "1737" -16.0579955684706 -4.345461404344 12897
"205" "1747_1" -17.9641901336432 -3.50690115705009 28361
"206" "1747_2" -26.6250143032488 -8.06209436144685 12637
"207" "1747_3" -14.3230341653643 -2.84556983186613 10174
"208" "1747_4" -15.5935648777193 -3.59132016513828 29889
"209" "1747_5" -28.464519554547 -6.05085317868179 12598
"210" "1747_6" -14.1730822760293 -1.88075822594786 1472
"211" "1757" -37.7897114152571 -8.0004707558409 5102
"212" "1767" -13.2385891224441 -1.83364388823068 794
"213" "1777" -16.5902135626598 -1.01737890311584 533
"214" "1787" NA NA NA
"215" "1797" NA NA NA
"216" "1807_raw" NA NA NA
"217" "1835" NA NA NA
"218" "1873" NA NA NA
"219" "1883" NA NA NA
"220" "189_raw" NA NA NA
"221" "1920" -81.3873519021973 -17.4064712817951 5614
"222" "1930" -21.2489606168173 -3.52133651543624 4214
"223" "1940" -122.522420959896 -25.0754472452568 7283
"224" "1950" -167.939469448358 -38.519759788165 5432
"225" "1960" -82.6546423682764 -17.2926661638474 6057
"226" "1970" -57.3172699769577 -11.1055341304521 7407
"227" "1980" -73.6749719060265 -15.339866547235 9592
"228" "1990" -42.0794869638308 -7.40381328810339 843
"229" "2000" -42.7683624487582 -8.57371474305042 1259
"230" "20001_1001" -15.7765166136468 -1.81314035240484 1081
"231" "20001_1003" -14.1830854422788 -1.80483005823152 784
"232" "20001_1006" -15.1920974435267 -1.89765572080652 992
"233" "20001_1011" -17.3966978677657 -1.22477711394209 1404
"234" "20001_1017" -16.9139423730492 -1.50364021385217 1395
"235" "20001_1018" -17.1309035748754 -1.39471664506974 1360
"236" "20001_1019" -17.0297091505859 -1.44846165245769 1344
"237" "20001_1020" -15.0896516069589 -1.69715921856851 767
"238" "20001_1022" -12.8962177498802 -2.12610385715236 740
"239" "20001_1023" -15.5453576807162 -1.75706833997781 1023
"240" "20001_1024" -17.5488653397998 -1.15287621737592 1486
"241" "20001_1030" -17.6615291352879 -1.24349545353308 1585
"242" "20001_1032" -16.273730437384 -1.6486119855129 1161
"243" "20001_1034" -14.0694173819553 -2.08487709345774 987
"244" "20001_1035" -13.8751709816047 -1.84943677280762 740
"245" "20001_1048" -16.5682218404276 -1.50165624810908 1275
"246" "20001_1050" -17.1640310107664 -1.33933388099303 1326
"247" "20001_1052" -14.7602142731305 -1.95117138802676 936
"248" "20001_1053" -12.7946793059591 -2.34902014347711 830
"249" "20001_1055" -15.8842953764281 -1.60142864251433 1046
"250" "20001_1059" -14.070686693234 -1.78152363396105 1028
"251" "20001_1060" -14.9924702039372 -1.59542311400787 705
"252" "20001_1061" -14.1203012286841 -1.77548511009922 1120
"253" "20001_1062" -15.0685303600805 -1.72592433515083 825
"254" "20001_1063" -17.322460043084 -1.40306500082232 1485
"255" "20001_1065" -15.4045330171697 -1.84871288201168 1210
"256" "20001_1068" -15.7856167478166 -1.70747054528066 1084
"257" "20001_1073" -14.5363853981328 -1.82474736247711 799
"258" "20001_99999" -14.8481615380934 -1.8398831730193 838
"259" "20002_1065" -31.2714360911701 -5.98123043581279 18192
"260" "20002_1066" -11.9257624765354 -2.48224314722998 736
"261" "20002_1067" -14.8039981601716 -1.68902823821012 741
"262" "20002_1072" -14.6054642957113 -1.6164828241488 626
"263" "20002_1074" -16.1720690245239 -1.23248410109204 780
"264" "20002_1075" -16.581650956521 -1.21215460332682 896
"265" "20002_1076" -15.8352591459847 -1.58519512261673 1119
"266" "20002_1077" -13.3047066125071 -1.95590738553788 668
"267" "20002_1078" -15.2445369309083 -1.38464182209588 749
"268" "20002_1079" -14.4007295268 -2.11595654510271 979
"269" "20002_1080" -16.205605406562 -1.48251699955456 1182
"270" "20002_1081" -14.8703385887741 -1.48389809405908 594
"271" "20002_1082" -13.3315394074651 -1.96495701850984 684
"272" "20002_1083" -17.078061396897 -1.25294961901602 1394
"273" "20002_1086" -14.7436655863499 -1.93682511215329 777
"274" "20002_1087" -14.7303198173008 -1.98969092278951 998
"275" "20002_1093" -13.9917545018517 -1.81745046909275 996
"276" "20002_1094" -14.8012630364559 -1.66319691624222 1392
"277" "20002_1111" -59.1580835319099 -12.9618458092167 20604
"278" "20002_1112" -13.5345088171077 -1.9018123876625 586
"279" "20002_1113" -13.1366493446582 -1.76841085572084 513
"280" "20002_1114" -14.6860749587301 -1.67886449804303 658
"281" "20002_1115" -17.3052138127148 -1.26164705881746 1605
"282" "20002_1117" -13.1757100673863 -2.21422917496797 760
"283" "20002_1120" -17.0267271110016 -1.3459471727057 1435
"284" "20002_1123" -13.7910056110155 -1.87126453769699 718
"285" "20002_1125" -12.4136593783974 -2.2295635350824 640
"286" "20002_1126" -13.3171081409049 -2.06827161356711 749
"287" "20002_1134" -15.8746161583985 -1.48872013312689 963
"288" "20002_1135" -13.8035900212055 -2.07086524598433 908
"289" "20002_1136" -13.4882554440449 -2.16384541128458 915
"290" "20002_1137" -13.3833338968164 -2.20509295631671 857
"291" "20002_1138" NA NA NA
"292" "20002_1139" -13.8400327114713 -1.79932752092213 677
"293" "20002_1142" -13.4178708205584 -1.84372883745955 579
"294" "20002_1143" -14.1156231875841 -1.98264463679547 815
"295" "20002_1154" -17.0652441520133 -0.915717319922356 468
"296" "20002_1155" -15.2034209889083 -1.71138592264066 917
"297" "20002_1156" -13.6601877480378 -2.01390140358334 802
"298" "20002_1157" -14.4633071579771 -2.36320736400316 994
"299" "20002_1158" -15.4450531837527 -1.75948208516411 1014
"300" "20002_1161" -16.197762127333 -1.51491897293198 1054
"301" "20002_1162" -14.0713093221931 -1.91255766219844 1145
"302" "20002_1163" -14.6129293753966 -1.91044087845076 808
"303" "20002_1165" -14.5181560814072 -1.66030859487346 756
"304" "20002_1190" -12.5899432287328 -2.16238656982137 770
"305" "20002_1191" -16.8975182123329 -1.5110353570359 1387
"306" "20002_1192" -16.4530459785655 -1.46064455846377 1266
"307" "20002_1193" -16.5192584685123 -1.54583842823172 1240
"308" "20002_1194" -15.760428954644 -1.5790385188129 929
"309" "20002_1196" -13.8837248332795 -1.83723227573498 790
"310" "20002_1197" -13.8861825363688 -1.71698148048546 611
"311" "20002_1200" -16.4897370980825 -1.34730158275098 1144
"312" "20002_1201" -13.6932091913848 -1.80496937868416 663
"313" "20002_1202" -12.6691267887009 -2.20577370258402 669
"314" "20002_1220" -53.2801023964015 -9.85034259549298 6460
"315" "20002_1222" -18.0645949014691 -1.29541601235815 6832
"316" "20002_1223" -14.2795947144712 -1.69775283702725 772
"317" "20002_1224" -13.1557337190747 -2.25262031118416 885
"318" "20002_1225" -18.0861629901263 -1.25838884078496 16419
"319" "20002_1226" -44.4577764771591 -8.85040874335057 25714
"320" "20002_1229" -17.1413888192796 -1.35635555333225 1431
"321" "20002_1234" -17.4806107408354 -1.3182994358634 2774
"322" "20002_1238" -15.5193533730995 -1.70612004364178 1084
"323" "20002_1240" -17.4594474133739 -1.15653670994146 1702
"324" "20002_1242" -12.9098802864467 -2.10500217542557 897
"325" "20002_1243" -12.9289108412609 -2.54120805021741 717
"326" "20002_1246" -16.3006222369931 -1.61056280996353 1247
"327" "20002_1247" -12.900483984996 -2.12328113587427 666
"328" "20002_1249" -16.3009125771917 -1.57117656761358 987
"329" "20002_1250" -14.7159077925969 -1.91242120429011 788
"330" "20002_1251" -14.676175334932 -1.88495086820178 892
"331" "20002_1254" -15.4598732802174 -1.89075591385035 1045
"332" "20002_1255" -13.8019148479407 -2.09894055730134 871
"333" "20002_1256" -16.338841794473 -1.63870554296288 1270
"334" "20002_1257" -12.0346992182304 -2.34879634785606 641
"335" "20002_1258" -17.1170637008451 -1.26656212309273 1310
"336" "20002_1261" -17.8496243336962 -1.33812467581864 11610
"337" "20002_1262" -14.3556591809847 -1.81998503396093 633
"338" "20002_1264" -14.1030798324585 -1.63732496299461 625
"339" "20002_1265" -15.8810968564149 -1.34313401324602 652
"340" "20002_1266" -12.2436776109048 -2.26526579638906 682
"341" "20002_1267" -13.2555120376901 -2.36302749969995 773
"342" "20002_1274" -14.9289236511421 -1.92423001221266 1120
"343" "20002_1275" -14.2416364185947 -1.93417931726907 859
"344" "20002_1276" -13.9377980121614 -2.00218055870678 859
"345" "20002_1277" -13.337635697796 -1.95965656301437 1000
"346" "20002_1278" -13.6360504231831 -1.71822824061132 565
"347" "20002_1279" -14.435588679203 -1.87627861732036 773
"348" "20002_1281" -12.3747006991513 -2.37630355320194 677
"349" "20002_1282" -16.7483965483875 -1.38862816465726 1177
"350" "20002_1286" NA NA NA
"351" "20002_1287" -15.1031836535007 -1.37450651428774 553
"352" "20002_1288" -13.5766791082368 -2.19700706224269 697
"353" "20002_1289" -15.1051422927173 -1.73532984130813 860
"354" "20002_1290" -16.3216971363032 -1.49481886553572 1117
"355" "20002_1291" -13.9951579366027 -1.86346847442463 798
"356" "20002_1293" -14.8454021188022 -1.65811435412275 775
"357" "20002_1294" -13.1602426165108 -1.87320139258718 504
"358" "20002_1295" -14.1521640170692 -1.82632747415878 763
"359" "20002_1297" -13.2806948929723 -1.83180108685888 592
"360" "20002_1308" -14.6961083059747 -1.77537951210282 749
"361" "20002_1309" -14.2276736062354 -1.74082645255216 819
"362" "20002_1311" -13.7839978479768 -1.74243611707484 573
"363" "20002_1312" -12.626306627714 -2.06873650906196 625
"364" "20002_1313" -17.794171220313 -1.36666450751827 9788
"365" "20002_1322" -16.6464885143932 -1.48952367670138 1518
"366" "20002_1327" -14.0601985563748 -2.26020795464755 883
"367" "20002_1330" -12.6497130023259 -2.13412615924528 661
"368" "20002_1331" -13.6891282316189 -1.97056060528399 683
"369" "20002_1371" -17.089552677 -1.59616016378941 6975
"370" "20002_1372" -16.858271468854 -1.32861107137686 1321
"371" "20002_1373" -16.8026023303889 -1.45447362173235 1301
"372" "20002_1374" -14.1983445285463 -1.65250932307826 663
"373" "20002_1377" -16.279489116616 -1.61420689872501 2849
"374" "20002_1381" -16.751504800362 -1.57051945789367 3041
"375" "20002_1382" -16.4666874067933 -1.5453209869118 1741
"376" "20002_1384" -16.7565953505067 -1.43177582775737 1429
"377" "20002_1385" -13.687658230381 -1.77978042421863 674
"378" "20002_1386" -13.070688954551 -1.83448061551669 632
